Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.9968304278922345,0.9968304278922345,0.9968304278922345,0.9968304278922345,0.9999748845316342
Neural Network,0.9952456418383518,0.9984051036682615,0.9920760697305864,0.9952305246422893,0.9999196305012293
Logistic Regression,0.9857369255150554,0.9951534733441034,0.9762282091917591,0.9856,0.9995579677567616
SVM,0.9841521394611727,0.9888,0.9793977812995246,0.9840764331210191,0.998992869718531
Random Forest,0.9873217115689382,0.9904306220095693,0.9841521394611727,0.9872813990461049,0.9988434326817544
